question_id;question_text;modelantwoord_deel1_prefix;modelantwoord_deel1_completion;modelantwoord_deel2_prefix;modelantwoord_deel2_completion;student_id;antwoord_deel1_prefix;antwoord_deel1_completion;antwoord_deel2_prefix;antwoord_deel2_completion;ai_score_deel1;ai_score_deel2;ai_score_total;ai_confidence;deel1_light_highlight;deel1_dark_highlight;deel2_light_highlight;deel2_dark_highlight;similar_right;similar_wrong;sim_response_1;sim_response_score_1;sim_response_2;sim_response_score_2;sim_response_3;sim_response_score_3
Q001;What is the explanation for concept 1?;Explanation part 1:;This is the first part of the model answer for concept 1.;Explanation part 2:;This is the second part of the model answer for concept 1.;S001_01;Student's part 1:;This is student 1's answer to part 1 of question 1.;Student's part 2:;This is student 1's answer to part 2 of question 1.;1;0;1;67;first, part, answer;answer, concept;part, concept;second, model, answer;2;1;First respons tesxt.;1;Second response tekst.;0;Third response tekst bla bla blaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.;1
Q001;What is the explanation for concept 1?;Explanation part 1:;This is the first part of the model answer for concept 1.;Explanation part 2:;This is the second part of the model answer for concept 1.;S001_02;Student's part 1:;This is student 2's answer to part 1 of question 1.;Student's part 2:;This is student 2's answer to part 2 of question 1.;0;0;0;62;first, part;answer, concept;part, concept;second, model, answer;3;1;First respons tesxt.;1;Second response tekst.;0;Third response tekst bla bla blaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.;1
Q001;What is the explanation for concept 1?;Explanation part 1:;This is the first part of the model answer for concept 1.;Explanation part 2:;This is the second part of the model answer for concept 1.;S001_03;Student's part 1:;This is student 3's answer to part 1 of question 1.;Student's part 2:;This is student 3's answer to part 2 of question 1.;1;0;1;53;first, part;answer, concept;part, concept;second, model, answer;4;1;First respons tesxt.;0;Second response tekst.;0;Third response tekst bla bla blaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.;1
Q001;What is the explanation for concept 1?;Explanation part 1:;This is the first part of the model answer for concept 1.;Explanation part 2:;This is the second part of the model answer for concept 1.;S001_04;Student's part 1:;This is student 4's answer to part 1 of question 1.;Student's part 2:;This is student 4's answer to part 2 of question 1.;0;0;0;55;first, part;answer, concept;part, concept;second, model, answer;5;1;First respons tesxt.;1;Second response tekst.;0;Third response tekst bla bla blaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.;1
Q002;What is the explanation for concept 2?;Explanation part 1:;This is the first part of the model answer for concept 2.;Explanation part 2:;This is the second part of the model answer for concept 2.;S002_01;Student's part 1:;This is student 1's answer to part 1 of question 2.;Student's part 2:;This is student 1's answer to part 2 of question 2.;1;1;2;80;first, part;answer, concept;part, concept;second, model, answer;6;1;First respons tesxt.;0;Second response tekst.;1;Third response tekst bla bla blaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.;1
Q002;What is the explanation for concept 2?;Explanation part 1:;This is the first part of the model answer for concept 2.;Explanation part 2:;This is the second part of the model answer for concept 2.;S002_02;Student's part 1:;This is student 2's answer to part 1 of question 2.;Student's part 2:;This is student 2's answer to part 2 of question 2.;0;1;1;84;first, part;answer, concept;part, concept;second, model, answer;7;1;First respons tesxt.;0;Second response tekst.;1;Third response tekst bla bla blaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.;1
Q002;What is the explanation for concept 2?;Explanation part 1:;This is the first part of the model answer for concept 2.;Explanation part 2:;This is the second part of the model answer for concept 2.;S002_03;Student's part 1:;This is student 3's answer to part 1 of question 2.;Student's part 2:;This is student 3's answer to part 2 of question 2.;0;1;1;51;first, part;answer, concept;part, concept;second, model, answer;8;1;First respons tesxt.;0;Second response tekst.;1;Third response tekst bla bla blaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.;1
Q002;What is the explanation for concept 2?;Explanation part 1:;This is the first part of the model answer for concept 2.;Explanation part 2:;This is the second part of the model answer for concept 2.;S002_04;Student's part 1:;This is student 4's answer to part 1 of question 2.;Student's part 2:;This is student 4's answer to part 2 of question 2.;0;0;0;87;explanation: low,for: medium,concept: high;answer, concept;part, concept;second, model, answer;9;1;First respons tesxt.;0;Second response tekst.;1;Third response tekst bla bla blaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.;1
Q003;What is the explanation for concept 3?;Explanation part 1:;This is the first part of the model answer for concept 3.;Explanation part 2:;This is the second part of the model answer for concept 3.;S003_01;Student's part 1:;This is student 1's answer to part 1 of question 3.;Student's part 2:;This is student 1's answer to part 2 of question 3.;1;1;2;99;explanation: low,for: medium,concept: high;answer, concept;part, concept;second, model, answer;10;1;First respons tesxt.;1;Second response tekst.;0;Third response tekst bla bla blaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.;1
Q003;What is the explanation for concept 3?;Explanation part 1:;This is the first part of the model answer for concept 3.;Explanation part 2:;This is the second part of the model answer for concept 3.;S003_02;Student's part 1:;This is student 2's answer to part 1 of question 3.;Student's part 2:;This is student 2's answer to part 2 of question 3.;1;0;1;85;explanation: low,for: medium,concept: high;answer, concept;part, concept;second, model, answer;11;1;First respons tesxt.;1;Second response tekst.;0;Third response tekst bla bla blaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.;1
Q003;What is the explanation for concept 3?;Explanation part 1:;This is the first part of the model answer for concept 3.;Explanation part 2:;This is the second part of the model answer for concept 3.;S003_03;Student's part 1:;This is student 3's answer to part 1 of question 3.;Student's part 2:;This is student 3's answer to part 2 of question 3.;1;1;2;95;explanation: low,for: medium,concept: high;answer, concept;part, concept;second, model, answer;12;1;First respons tesxt.;1;Second response tekst.;0;Third response tekst bla bla blaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.;1
Q003;What is the explanation for concept 3?;Explanation part 1:;This is the first part of the model answer for concept 3.;Explanation part 2:;This is the second part of the model answer for concept 3.;S003_04;Student's part 1:;This is student 4's answer to part 1 of question 3.;Student's part 2:;This is student 4's answer to part 2 of question 3.;0;1;1;72;explanation: low,for: medium,concept: high;explanation: low,for: medium,concept: high;part, concept;second, model, answer;13;1;First respons tesxt.;;Second response tekst.;0;Third response tekst bla bla blaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.;1
